Sec,MeanLatency
1,142.0
2,61.0
3,40.0
4,26.0
5,26.0
6,26.0
7,31.0
8,25.0
9,27.0
10,27.0
11,25.0
12,27.0
13,29.0
14,25.0
15,35.0
16,42.0
17,25.0
18,28.0
19,29.0
20,26.0
21,29.0
22,26.0
23,25.0
24,27.0
25,26.0
26,25.0
27,27.0
28,26.0
29,28.0
30,25.0
31,25.0
32,26.0
33,27.0
34,27.0
35,28.0
36,89.0
37,36.0
38,217.0
39,72.0
40,42.0
41,48.0
42,40.0
43,44.0
44,55.0
45,40.0
46,44.0
47,35.0
48,35.0
49,52.0
50,27.0
51,30.0
52,28.0
53,27.0
54,35.0
55,35.0
56,37.0
57,49.0
58,47.0
59,53.0
60,59.0
61,58.0
62,47.0
63,40.0
64,59.0
65,37.0
66,36.0
67,31.0
68,29.0
69,28.0
70,29.0
71,35.0
72,38.0
73,36.0
74,28.0
75,26.0
76,27.0
77,24.0
78,23.0
79,23.0
79.734,24.0
